alias,chainguard_image
nvcr.io/nvidia/tritonserver,tritonserver-pytorch-backend
nvcr.io/nvidia/tritonserver,tritonserver-trtllm-backend
nvcr.io/nvidia/tritonserver,tritonserver-vllm-backend
nvidia/container-toolkit,nvidia-container-toolkit
nvidia/dcgm,dcgm
nvidia/dcgm-exporter,dcgm-exporter
nvidia/gpu-feature-discovery,gpu-feature-discovery
nvidia/gpu-operator,gpu-operator
nvidia/gpu-operator-validator,gpu-operator-validator
nvidia/k8s-device-plugin,nvidia-device-plugin
oamdev/vela-core,vela-core
oauth2-proxy/oauth2-proxy,oauth2-proxy
observabilitystack/geoip-api,geoip-api
observatorium/thanos-receive-controller,thanos-receive-controller
oliver006/redis_exporter,prometheus-redis-exporter
ollama/ollama,ollama
open-telemetry/opentelemetry-operator/autoinstrumentation-java,opentelemetry-java-instrumentation
open-telemetry/opentelemetry-operator/opentelemetry-operator,opentelemetry-operator
open-webui/open-webui,open-webui
openbao/openbao,openbao
opencost/opencost,opencost
opencost/opencost-ui,opencost
openebs/lvm-driver,lvm-driver
openebs/provisioner-localpv,dynamic-localpv-provisioner
openeuler/strongswan,strongswan
openfga/openfga,openfga
openjdk,adoptium-jdk
openjdk,adoptium-jre
openjdk,jdk
openliberty/open-liberty,open-liberty
openpolicyagent/gatekeeper,gatekeeper
openpolicyagent/gatekeeper-crds,gatekeeper-crds
openpolicyagent/opa,opa
openresty/openresty,openresty
opensearchproject/logstash-oss-with-opensearch-output-plugin,logstash-oss-with-opensearch-output-plugin
opensearchproject/opensearch,opensearch
opensearchproject/opensearch-dashboards,opensearch-dashboards
opensearchproject/opensearch-operator,opensearch-k8s-operator
opentext/verticadb-operator,verticadb-operator
opentofu/opentofu,opentofu
openzipkin/zipkin,zipkin
openzipkin/zipkin-slim,zipkin-slim
orthancteam/orthanc,orthanc
oryd/hydra,hydra
oryd/kratos,kratos
osixia/openldap,openldap
oss/kubernetes-csi/azuredisk-csi,azuredisk-csi
oss/kubernetes-csi/azurefile-csi,azurefile-csi
oss/kubernetes-csi/blob-csi,blob-csi
oss/kubernetes/azure-cloud-controller-manager,cloud-provider-azure
oss/kubernetes/azure-cloud-node-manager,cloud-provider-azure
oss/v2/azure/secrets-store/provider-azure,secrets-store-csi-driver-provider-azure
ot-container-kit/redis-operator/redis-operator,redis-operator
otel/opentelemetry-collector,opentelemetry-collector
otel/opentelemetry-collector-contrib,opentelemetry-collector-contrib
oven/bun,bun
owasp/modsecurity-crs,paranoia
peaceiris/mdbook,mdbook
percona/percona-server,percona-server
percona/percona-server-mongodb-operator,percona-server-mongodb-operator
perl,perl
pgbouncer/pgbouncer,pgbouncer
pgpool/pgpool,pgpool2
pgpool/pgpool2_exporter,pgpool2_exporter
pgwatch/pgwatch,pgwatch
php,php
postfinance/kubelet-csr-approver,kubelet-csr-approver
postgis/postgis,postgis
postgres,postgres
powerdns/dnsdist-master,dnsdist
powerdns/pdns-recursor-54,pdns-recursor
powershell,powershell
prefix-dev/pixi,pixi
project-zot/zot,zot
projectcontour/contour,contour
prom/alertmanager,prometheus-alertmanager
prom/blackbox-exporter,prometheus-blackbox-exporter
prom/cloudwatch-exporter,prometheus-cloudwatch-exporter
prom/memcached-exporter,memcached-exporter
prom/mysqld-exporter,prometheus-mysqld-exporter
prom/node-exporter,prometheus-node-exporter
prom/prometheus,prometheus
prom/pushgateway,prometheus-pushgateway
prom/statsd-exporter,prometheus-statsd-exporter
prometheus-operator/admission-webhook,prometheus-admission-webhook
prometheus-operator/prometheus-config-reloader,prometheus-config-reloader
prometheus-operator/prometheus-operator,prometheus-operator
prometheus/cloudwatch-exporter,prometheus-cloudwatch-exporter
prometheus/snmp-exporter,prometheus-snmp-exporter
prometheuscommunity/pgbouncer-exporter,prometheus-pgbouncer-exporter
prometheuscommunity/pushprox,pushprox
prometheuscommunity/yet-another-cloudwatch-exporter,prometheus-yet-another-cloudwatch-exporter
proxysql/proxysql,proxysql
pulumi/pulumi,pulumi
pulumi/pulumi-kubernetes-operator,pulumi-kubernetes-operator
pypiserver/pypiserver,pypiserver
pypy,pypy
python,python
pytorch/pytorch,pytorch
qdrant/qdrant,qdrant
r-base,r-base
rabbitmq,rabbitmq
rabbitmqoperator/messaging-topology-operator,rabbitmq-messaging-topology-operator
rails,rails
rancher/cis-operator,cis-operator
rancher/fleet,rancher-fleet
rancher/fleet-agent,rancher-fleet
rancher/k3s,k3s
rancher/k3s,k3s-openssl
rancher/klipper-helm,klipper-helm
rancher/local-path-provisioner,local-path-provisioner
rancher/metrics-server,metrics-server
rancher/rancher,rancher
rancher/rancher-agent,rancher-agent
rancher/rancher-webhook,rancher-webhook
rancher/rke2-runtime,rke2-runtime
rancher/security-scan,rancher-security-scan
rancher/shell,rancher-shell
